Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,Days_Since_Release,Stream_Velocity,is_breakout,Release_Month,Virality_Ratio,Breakout_Probability
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725.4,390470936.0,30716.0,196631588.0,92.0,84274754.0,"1,713,126",5767700.0,651565900,5332281936.0,"150,597,040",210.0,40975.0,62.0,"17,598,718",114.0,"18,004,655","22,931",2669262.0,0,629,620780.5023847377,0,4,13.656027710968921,0.06277989252127182
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,545.9,323703884.0,28113.0,174597137.0,92.0,116347040.0,"3,486,739",674700.0,35223547,208339025.0,"156,380,351",188.0,40778.0,67.0,"10,422,430",111.0,"7,780,028","28,444",1118279.0,1,621,521262.2930756844,0,5,0.6436098998317552,0.03
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,538.4,601309283.0,54331.0,211607669.0,92.0,122599116.0,"2,228,730",3025400.0,275154237,3369120610.0,"373,784,955",190.0,74333.0,136.0,"36,321,847",172.0,"5,022,621","5,639",5285340.0,0,667,901513.167916042,0,3,5.602974541800023,0.02240727619785459
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4,444.9,2031280633.0,269802.0,136569078.0,85.0,1096100899.0,"10,629,796",7189811.0,1078757968,14603725994.0,"3,351,188,582",394.0,1474799.0,264.0,"24,684,248",210.0,"190,260,277","203,384",11822942.0,0,1099,1848299.02911738,0,1,7.189418217039921,0.13
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,423.3,107034922.0,7223.0,151469874.0,88.0,77373957.0,"3,670,188",16400.0,0,0.0,"112,763,851",182.0,12185.0,82.0,"17,660,624",105.0,"4,493,884","7,006",457017.0,1,594,180193.47138047137,0,5,0.0,0.0
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,410.1,670665438.0,105892.0,175421034.0,83.0,131148091.0,"1,392,593",4202367.0,214943489,2938686633.0,"2,867,222,632",138.0,522042.0,86.0,"17,167,254",152.0,"138,529,362","50,982",4517131.0,1,797,841487.3751568381,0,11,4.381747533288353,0.013173559722758807
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407.2,900158751.0,73118.0,201585714.0,86.0,308723145.0,"4,120,760",0.0,29584940,534915313.0,"4,601,579,812",280.0,383478.0,168.0,"48,197,850",154.0,"65,447,476","57,372",9990302.0,0,728,1236481.8008241758,0,1,0.5942455281487948,0.0
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8,375.8,675079153.0,40094.0,211236940.0,92.0,228382568.0,"1,439,495",3500000.0,338546668,3804584163.0,"2,112,581,620",160.0,17221.0,87.0,"33,245,595",53.0,"3,372,428","5,762",6063523.0,1,713,946815.0813464236,0,2,5.635760103769995,0.04240727619785459
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,2024-06-09,TCJPA2463708,9,355.7,1653018119.0,1.0,15.0,67.0,148269610.0,,0.0,0,0.0,,0.0,0.0,,,,0,0,854584.0,1,585,2825671.9982905984,0,6,0.0,0.0
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330.6,90676573.0,10400.0,184199419.0,86.0,32735244.0,"988,682",325800.0,121574500,974656200.0,"174,706,874",191.0,3823.0,78.0,"10,800,098",92.0,"1,005,626",842,666302.0,1,602,150625.5365448505,0,5,10.748710025149384,0.0696846846846847
